groud_truth_label, prediction
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,39
5,5
5,5
5,5
5,5
5,5
6,6
6,6
6,6
6,6
6,6
7,7
7,7
7,7
7,7
7,7
8,8
8,8
8,8
8,8
8,8
9,9
9,9
9,9
9,9
9,37
10,10
10,10
10,14
10,10
10,10
11,11
11,11
11,11
11,11
11,11
12,12
12,12
12,12
12,12
12,12
13,13
13,13
13,13
13,21
13,13
14,14
14,14
14,14
14,14
14,14
15,15
15,15
15,0
15,15
15,15
16,35
16,23
16,16
16,16
16,35
17,17
17,17
17,17
17,17
17,17
18,18
18,18
18,18
18,14
18,18
19,19
19,19
19,37
19,19
19,19
20,20
20,20
20,20
20,20
20,20
21,21
21,21
21,21
21,21
21,21
22,22
22,22
22,22
22,22
22,22
23,23
23,23
23,23
23,23
23,23
24,24
24,24
24,24
24,24
24,24
25,25
25,25
25,25
25,25
25,25
26,16
26,16
26,16
26,26
26,26
27,27
27,27
27,36
27,27
27,27
28,28
28,28
28,28
28,28
28,28
29,29
29,29
29,29
29,29
29,29
30,30
30,30
30,30
30,30
30,30
31,31
31,1
31,31
31,31
31,31
32,32
32,32
32,32
32,32
32,32
33,33
33,33
33,33
33,33
33,33
34,34
34,34
34,34
34,34
34,34
35,23
35,35
35,35
35,35
35,16
36,36
36,36
36,36
36,36
36,36
37,37
37,37
37,37
37,37
37,37
38,38
38,38
38,38
38,38
38,28
39,4
39,39
39,39
39,39
39,4
